"title","location","yearsofexperience","yearsatcompany","basesalary","gender","Race"
"Software Engineer","San Francisco, CA",1,1,208085,NA,NA
"Software Engineer","Las Vegas, NV",4,0,157617,NA,NA
"Software Engineer","San Francisco, CA",0,0,154003,NA,NA
"Software Engineer","San Francisco, CA",5,1,207492,NA,NA
"Data Scientist","San Francisco, CA",7,0,226952,NA,NA
"Software Engineer","San Francisco, CA",2,0,204313,"Male","Asian"
"Software Engineer","Mountain View, CA",3,0,203178,NA,NA
"Software Engineer","San Francisco, CA",5,2,307823,NA,NA
"Software Engineer","San Francisco, CA",4,0,166683,"Other","Two Or More"
"Software Engineer","San Francisco, CA",7,0,140029,NA,NA
"Software Engineering Manager","Bangalore, KA, India",19,3,98195,NA,NA
"Software Engineer","Gurgaon, HR, India",2,2,97465,"Male","Asian"
"Software Engineer","Santa Clara, CA",3,0,227777,"Male",NA
"Software Engineer","Santa Clara, CA",7,2,255895,"Male",NA
"Software Engineer","Boston, MA",3,1,130350,"Male","Asian"
"Solution Architect","Tokyo, TY, Japan",20,5,189684,"Male","Asian"
"Software Engineer","Boston, MA",3,3,149894,"Female","White"
"Product Designer","Boston, MA",16,6,335717,"Male","White"
"Software Engineer","Cambridge, MA",8,7,225733,NA,NA
"Software Engineer","Cambridge, MA",6,0,182186,"Male","Asian"
"Software Engineer","Portland, OR",5,3,117432,"Male","White"
"Software Engineer","Santa Clara, CA",4,0,108192,"Male","Asian"
"Software Engineer","Cambridge, EN, United Kingdom",12,3,158480,NA,NA
"Sales","Seattle, WA",25,2,238401,NA,NA
"Software Engineer","Boston, MA",7,6,120195,"Other",NA
"Product Manager","Cambridge, MA",20,12,210611,NA,NA
"Product Manager","Cambridge, MA",8,2,175341,"Female","Hispanic"
"Software Engineer","Santa Clara, CA",2,0,136755,NA,NA
"Business Analyst","Cambridge, MA",17,5,258369,NA,NA
"Software Engineer","Cambridge, MA",4,1,238296,NA,NA
"Software Engineer","Cambridge, MA",3,0,168121,NA,NA
"Software Engineer","Portland, OR",3,3,187279,"Female",NA
"Software Engineer","Cambridge, MA",15,10,92490,"Male","White"
"Software Engineer","Cambridge, MA",8,4,112046,NA,NA
"Software Engineer","Bangalore, KA, India",2,2,138688,"Male","Asian"
"Product Manager","Cambridge, MA",10,2,172347,"Female","White"
"Software Engineer","Cambridge, MA",7,1,370594,"Male","White"
"Technical Program Manager","Cambridge, MA",11,3,136359,NA,NA
"Solution Architect","Washington, DC",5,1,267538,NA,NA
"Software Engineer","Santa Clara, CA",4,0.5,192131,NA,NA
"Software Engineer","Boston, MA",2,2,318439,"Male",NA
"Data Scientist","Tel Aviv, TA, Israel",5,1,273705,"Male",NA
"Data Scientist","Tel Aviv, TA, Israel",7,2,239014,"Male",NA
"Software Engineer","Chicago, IL",0,0,101411,"Male","Asian"
"Software Engineer","Chicago, IL",2,1,186060,"Other",NA
"Software Engineer","Chicago, IL",2,2,236415,"Male","Asian"
"Software Engineer","Chicago, IL",0,0,185554,"Male","Asian"
"Software Engineer","Chicago, IL",4,4,259178,"Male",NA
"Software Engineer","Chicago, IL",0,0,228751,"Male","White"
"Software Engineer","Chicago, IL",0,0,82242,"Male","Asian"
"Software Engineer","Chicago, IL",0,0,170418,NA,NA
"Software Engineer","Chicago, IL",0,0,83440,NA,NA
"Software Engineer","Chicago, IL",0,0,207180,NA,NA
"Software Engineer","Chicago, IL",0,0,113083,NA,NA
"Software Engineer","Arlington, VA",0,0,199803,NA,NA
"Product Manager","Arlington, VA",1,1,264002,NA,NA
"Product Manager","Arlington, VA",3,3,312049,NA,NA
"Hardware Engineer","San Diego, CA",6,2,201208,"Male",NA
"Software Engineer","Denver, CO",2,2,143326,NA,NA
"Software Engineer","Seattle, WA",4,1,175749,"Female","Asian"
"Management Consultant","Seattle, WA",8,3,153720,"Male","White"
"Software Engineer","Seattle, WA",4,1,150602,"Male","White"
"Software Engineer","Seattle, WA",2,0,93424,"Female","Asian"
"Software Engineer","Redwood City, CA",10,2,229896,"Male","White"
"Software Engineer","Redwood City, CA",10,2,169759,"Male","White"
"Solution Architect","New York, NY",20,1,130505,"Male","Asian"
"Software Engineer","Austin, TX",5,0,156376,"Male","Asian"
"Product Manager","Pleasanton, CA",10,2,244912,NA,NA
"Product Manager","San Francisco, CA",8,2,241544,"Male",NA
"Software Engineer","Pleasanton, CA",20,0,127972,NA,NA
"Software Engineer","Pleasanton, CA",10,2,233039,NA,NA
"Software Engineer","Pleasanton, CA",10,0,185864,"Male","Asian"
"Software Engineer","Paris, IL",4,4,233468,"Male","White"
"Software Engineer","Hangzhou, ZJ, China",9,6,142847,"Male",NA
"Software Engineer","Beijing, BJ, China",3,0,161148,"Male",NA
"Business Analyst","Hangzhou, ZJ, China",5,0,85792,NA,NA
"Sales","Singapore, SG, Singapore",15,1,330808,"Male","Asian"
"Data Scientist","Tel Aviv, TA, Israel",5,0,248027,"Male","White"
"Data Scientist","Tel Aviv, TA, Israel",5,0,175449,"Male","White"
"Software Engineer","Beijing, BJ, China",3,2,222262,"Male",NA
"Software Engineer","Seattle, WA",8,1,207422,"Male",NA
"Software Engineer","Sunnyvale, CA",4,0,206614,"Male",NA
"Software Engineer","Bellevue, WA",7,1,286844,"Male",NA
"Software Engineer","Hangzhou, ZJ, China",4,0,206571,NA,NA
"Product Manager","New York, NY",2,2,192796,NA,NA
"Data Scientist","New York, NY",3,1,88833,NA,NA
"Product Manager","Singapore, SG, Singapore",8,1,90776,"Female","Asian"
"Software Engineer","Hangzhou, ZJ, China",5,0,263239,"Male",NA
"Software Engineer","San Francisco, CA",3,0,189099,"Male","Asian"
"Software Engineer","Singapore, SG, Singapore",4,4,146941,NA,NA
"Software Engineer","Sunnyvale, CA",6,3,237315,NA,NA
"Software Engineer","Singapore, SG, Singapore",3,2,188534,"Female","Asian"
"Software Engineer","Tel Aviv, TA, Israel",10,0,172307,"Other","White"
"Software Engineer","Moscow, MC, Russia",3,3,270472,"Male","White"
"Software Engineer","San Jose, CA",2,2,195681,"Male",NA
"Software Engineer","San Jose, CA",10,5,277447,NA,NA
"Product Manager","San Jose, CA",18,4,322008,"Male","Asian"
"Software Engineer","Tel Aviv, TA, Israel",20,5,292964,"Male","White"
"Solution Architect","Munich, BY, Germany",3,1,271585,NA,NA
"Software Engineer","Northbrook, IL",14,4,89057,NA,NA
"Product Designer","Chicago, IL",10,4,152311,"Male","Two Or More"
"Software Engineering Manager","Chandler, AZ",15,3,77030,"Male","Asian"
"Data Scientist","Redwood City, CA",7,2,204973,NA,NA
"Software Engineer","Irving, TX",2,1,114878,NA,NA
"Software Engineer","Northbrook, IL",4,4,183449,"Male","Asian"
"Software Engineer","Dallas, TX",7,1,180428,NA,NA
"Data Scientist","Chicago, IL",6,1,288315,"Male","Asian"
"Data Scientist","Northbrook, IL",8,4,223729,"Male","White"
"Software Engineer","Chicago, IL",3,1,128123,"Male","Two Or More"
"Business Analyst","San Francisco, CA",2,2,80398,NA,NA
"Software Engineering Manager","San Francisco, CA",19,2,254246,NA,NA
"Data Scientist","Chicago, IL",6,2,100997,NA,NA
"Software Engineer","Chicago, IL",13,4,321826,NA,NA
"Software Engineer","Charlotte, NC",3,0,115857,"Male","White"
"Software Engineering Manager","Charlotte, NC",5,1,135731,"Male",NA
"Software Engineer","Charlotte, NC",5,2,153729,"Male",NA
"Software Engineer","Charlotte, NC",8,1,206576,NA,NA
"Software Engineering Manager","Charlotte, NC",10,1,143099,NA,NA
"Software Engineer","Charlotte, NC",6,2,104291,"Male","White"
"Software Engineering Manager","Detroit, MI",10,8,124164,NA,NA
"Software Engineering Manager","Charlotte, NC",14,10,262479,NA,NA
"Software Engineer","New York, NY",1,1,246049,"Male","Hispanic"
"Software Engineer","New York, NY",3,2,108965,"Male","Asian"
"Software Engineer","New York, NY",2,0,166099,NA,NA
"Sales","Irvine, CA",8,7,136225,NA,NA
"Software Engineer","Boston, MA",5,0,210692,NA,NA
"Marketing","Irvine, CA",21,4,262940,NA,NA
"Software Engineer","Broomfield, CO",0,0,227195,NA,NA
"Software Engineering Manager","Denver, CO",15,2,225339,"Male","White"
"Mechanical Engineer","Portland, OR",18,8,240800,NA,NA
"Software Engineer","New York, NY",3,1,141527,"Female","Asian"
"Software Engineer","Vancouver, BC, Canada",8,1,89740,"Female","White"
"Software Engineer","Seattle, WA",3,1,206926,"Male",NA
"Software Engineer","New York, NY",7,0,263687,"Male","Asian"
"Software Engineer","Seattle, WA",3,3,131977,"Male",NA
"Software Engineering Manager","London, EN, United Kingdom",6,6,116881,"Male",NA
"Software Engineering Manager","Waltham, MA",10,8,178410,"Male","White"
"Software Engineer","Bangalore, KA, India",7,7,91396,"Male","Asian"
"Software Engineering Manager","Boston, MA",1,4,263586,NA,NA
"Software Engineering Manager","Boston, MA",14,14,129439,"Male",NA
"Software Engineer","Waltham, MA",5,5,219292,"Male",NA
"Software Engineer","Tucson, AZ",12,12,114669,NA,NA
"Data Scientist","Gainesville, FL",2,2,150030,"Male",NA
"Software Engineer","Waltham, MA",5,5,123796,NA,NA
"Software Engineer","London, EN, United Kingdom",4,4,170025,NA,NA
"Software Engineer","Bangalore, KA, India",10,1,159890,"Male","Asian"
"Software Engineer","Irvine, CA",25,6,175755,"Male",NA
"Software Engineer","Seattle, WA",6,2,141803,"Male",NA
"Product Manager","Seattle, WA",3,2,134955,"Male",NA
"Product Manager","Seattle, WA",14,1,219760,"Female",NA
"Product Manager","Seattle, WA",14,1,232025,"Female",NA
"Software Engineer","Palo Alto, CA",5,4,278995,"Female",NA
"Data Scientist","Seattle, WA",3,1,157477,"Female",NA
"Software Engineer","Seattle, WA",1,1,116785,"Male",NA
"Software Engineer","Seattle, WA",6,6,217040,"Male",NA
"Software Engineer","Seattle, WA",0,0,309648,"Male",NA
"Software Engineer","Seattle, WA",1,1,111977,"Male",NA
"Product Manager","Seattle, WA",7,7,276935,"Male",NA
"Software Engineer","Seattle, WA",2,2,80930,"Male",NA
"Software Engineer","Seattle, WA",3,0,196244,"Male",NA
"Software Engineer","Seattle, WA",3,0,216481,"Female",NA
"Software Engineer","Seattle, WA",14,2,166697,"Male",NA
"Software Engineering Manager","Seattle, WA",18,4,207181,"Female",NA
"Software Engineer","Seattle, WA",2,0,229061,NA,NA
"Software Engineer","Seattle, WA",1,0,119632,"Male",NA
"Software Engineer","San Francisco, CA",5,0,160208,"Female",NA
"Product Manager","Palo Alto, CA",11,3,231161,"Male",NA
"Software Engineer","Seattle, WA",7,1,303306,NA,NA
"Software Engineer","Seattle, WA",3,0,264556,"Male",NA
"Hardware Engineer","Sunnyvale, CA",2,2,201308,"Male",NA
"Software Engineer","Seattle, WA",14,0,212474,"Male",NA
"Software Engineering Manager","Seattle, WA",14,4,295385,"Male",NA
"Product Manager","Seattle, WA",4,0,206818,"Male",NA
"Software Engineering Manager","Seattle, WA",22,8,92958,"Male",NA
"Software Engineer","Sunnyvale, CA",21,6,215587,"Male",NA
"Software Engineer","New York, NY",8,8,292072,"Male",NA
"Software Engineer","Boston, MA",5,4,128692,NA,NA
"Product Manager","Seattle, WA",2,5,236312,"Male",NA
"Software Engineer","Seattle, WA",4,4,272887,NA,NA
"Software Engineer","Vancouver, BC, Canada",14,2,113870,"Male",NA
"Software Engineer","Tempe, AZ",0,0,316601,"Male",NA
"Product Manager","Seattle, WA",8,4,184523,"Male",NA
"Software Engineer","Seattle, WA",5,5,92089,"Male",NA
"Software Engineer","Seattle, WA",1,0,156255,"Male",NA
"Software Engineer","Seattle, WA",14,7,120123,NA,NA
"Business Analyst","Seattle, WA",4,0.3,151885,"Female",NA
"Software Engineer","Seattle, WA",0,0,146672,"Male",NA
"Software Engineer","Seattle, WA",3,0,179184,"Male",NA
"Product Manager","Bangalore, KA, India",3,3,141135,"Male",NA
"Software Engineer","San Francisco, CA",3,0,163425,"Male",NA
"Software Engineer","Seattle, WA",3,0,250387,"Male",NA
"Software Engineer","Seattle, WA",0,0,90590,"Male",NA
"Software Engineer","Vancouver, BC, Canada",4,2,253967,"Male",NA
"Software Engineer","Seattle, WA",9,2,306308,"Male",NA
"Software Engineer","Minneapolis, MN",7,7,251752,NA,NA
"Software Engineer","Arlington, VA",6,0,254604,"Male",NA
"Software Engineer","New York, NY",6,1,217927,"Male",NA
"Software Engineering Manager","Tel Aviv, TA, Israel",19,1,206389,"Male",NA
"Product Manager","Sunnyvale, CA",12,2,135858,"Female",NA
"Software Engineer","Seattle, WA",3,3,169634,"Male",NA
"Software Engineering Manager","Seattle, WA",15,10,191136,"Male",NA
"Software Engineer","Seattle, WA",7,3,142665,"Male",NA
"Product Manager","Seattle, WA",16,2,253650,"Male",NA
"Data Scientist","Seattle, WA",5,2.7,260536,"Male",NA
"Product Manager","Seattle, WA",3,2,77607,"Male",NA
"Software Engineer","Seattle, WA",5,0,207937,"Male",NA
"Software Engineer","Palo Alto, CA",4,0,229786,"Male",NA
"Software Engineer","San Francisco, CA",10,4,156379,"Male",NA
"Software Engineer","Seattle, WA",2,0,122968,NA,NA
"Software Engineer","Seattle, WA",5,0,232204,"Male",NA
"Software Engineer","Seattle, WA",8,6,255881,"Male",NA
"Product Manager","San Francisco, CA",15,3,295965,"Male",NA
"Software Engineer","Seattle, WA",6,6,188832,"Male",NA
"Software Engineer","Seattle, WA",4,4,185365,"Male",NA
"Software Engineer","New York, NY",16,1,220713,NA,NA
"Product Manager","Seattle, WA",10,5,160727,"Male",NA
"Software Engineering Manager","Seattle, WA",11,5,83618,"Male",NA
"Software Engineer","Seattle, WA",10,5,194482,"Male",NA
"Software Engineer","Seattle, WA",19,15,247612,"Male",NA
"Software Engineer","Cupertino, CA",4,1,104064,"Female",NA
"Software Engineering Manager","Seattle, WA",15,1,335025,"Male",NA
"Product Manager","Seattle, WA",8,3,144458,"Male",NA
"Software Engineer","Seattle, WA",2,2,80142,"Female",NA
"Product Manager","Seattle, WA",10,4,89581,"Male",NA
"Software Engineering Manager","Vancouver, BC, Canada",19,0,105273,"Male",NA
"Software Engineer","Herndon, VA",1,0,211813,"Male",NA
"Software Engineer","London, EN, United Kingdom",3,3,78949,"Male",NA
"Software Engineer","Seattle, WA",3,1.5,215733,"Male",NA
"Software Engineer","Sunnyvale, CA",10,4,183705,"Male",NA
"Software Engineer","Sunnyvale, CA",8,7,153717,"Male",NA
"Software Engineer","Seattle, WA",0,0,189984,"Male",NA
"Software Engineer","Seattle, WA",2,2,162042,"Male",NA
"Software Engineer","Seattle, WA",7,6,286314,"Male",NA
"Software Engineer","Austin, TX",3,3,274551,"Male",NA
"Software Engineer","Boston, MA",5,2,166454,"Male",NA
"Software Engineer","Seattle, WA",6,4,188656,"Male",NA
"Product Manager","Luxembourg, LU, Luxembourg",8,4,133619,NA,NA
"Software Engineer","Seattle, WA",23,14,347290,"Male",NA
"Software Engineer","Seattle, WA",5,1,142967,NA,NA
"Software Engineer","Palo Alto, CA",8,5,170401,"Male",NA
"Software Engineer","Seattle, WA",20,14,174732,"Male",NA
"Software Engineer","Palo Alto, CA",15,4,304025,"Male",NA
"Software Engineering Manager","Boston, MA",22,3,108309,"Female",NA
"Solution Architect","Boston, MA",26,2,152786,NA,NA
"Product Manager","Munich, BY, Germany",15,6,149640,"Male",NA
"Product Manager","Seattle, WA",4,2,98169,"Male",NA
"Software Engineer","Arlington, VA",5,0,277517,NA,NA
"Product Manager","Seattle, WA",4,0,91442,"Male",NA
"Software Engineering Manager","Seattle, WA",20,2,278456,"Male",NA
"Software Engineering Manager","Sunnyvale, CA",20,2,107204,"Female",NA
"Software Engineer","Seattle, WA",7,1,181285,"Male",NA
"Product Manager","Seattle, WA",18,6,156425,"Male",NA
"Software Engineer","San Francisco, CA",6,0,139396,"Male",NA
"Product Manager","Seattle, WA",4,1,206995,"Male",NA
"Software Engineer","Chennai, TN, India",21,1,276497,"Male",NA
"Software Engineer","Boston, MA",24,3,91721,"Male",NA
"Hardware Engineer","Seattle, WA",3,1,79565,"Female",NA
"Software Engineering Manager","Boston, MA",22,3,233728,"Female",NA
"Software Engineering Manager","Seattle, WA",18,3,214764,"Male",NA
"Software Engineer","Seattle, WA",10,5,256306,NA,NA
"Software Engineer","Bellevue, WA",4,2,259625,"Male",NA
"Software Engineer","Seattle, WA",7,5,170619,NA,NA
"Software Engineer","Seattle, WA",8,6,292567,"Male",NA
"Software Engineer","Seattle, WA",7,0,166495,"Male",NA
"Software Engineer","Seattle, WA",4,0,169699,"Female",NA
"Software Engineer","Sunnyvale, CA",4,2,77215,"Male",NA
"Software Engineer","Seattle, WA",3,2,195730,"Male",NA
"Software Engineer","Seattle, WA",15,3,204938,NA,NA
"Software Engineer","Boulder, CO",6,0,197106,NA,NA
"Software Engineer","Seattle, WA",1,1,90021,"Male",NA
"Product Manager","San Francisco, CA",9,0,132220,"Female",NA
"Software Engineer","Seattle, WA",4,0,147818,"Male",NA
"Solution Architect","Seattle, WA",15,2,100166,"Male",NA
"Software Engineer","Seattle, WA",7,3,291530,"Male",NA
"Product Manager","Washington, DC",20,2,199912,"Male",NA
"Product Manager","Seattle, WA",4,2,292848,"Male",NA
"Software Engineering Manager","Herndon, VA",18,2.5,360993,"Male",NA
"Solution Architect","Tokyo, TY, Japan",19,3,290509,"Male",NA
"Product Designer","San Francisco, CA",6,4,131628,NA,NA
"Software Engineer","Seattle, WA",3,0,258316,"Male",NA
"Software Engineer","San Francisco, CA",5,0,249118,NA,NA
"Software Engineer","San Francisco, CA",6,0,238407,"Male",NA
"Software Engineer","Sunnyvale, CA",10,2,105322,NA,NA
"Software Engineer","San Francisco, CA",5,1.5,199665,"Male",NA
"Software Engineer","Seattle, WA",10,6,137512,NA,NA
"Software Engineer","Seattle, WA",26,2,216706,"Male",NA
"Product Manager","Seattle, WA",9,1,205462,NA,NA
"Product Manager","Seattle, WA",4,0,95645,NA,NA
"Software Engineer","New York, NY",15,9,207958,"Male",NA
"Software Engineering Manager","Los Angeles, CA",9,0,160283,"Female",NA
"Software Engineer","Sunnyvale, CA",10,8,205824,"Male",NA
"Software Engineer","Vancouver, BC, Canada",14,4,216942,"Male",NA
"Solution Architect","London, EN, United Kingdom",4,1,205070,"Male",NA
"Product Designer","Seattle, WA",8,0,284780,"Male",NA
"Software Engineer","Berlin, BE, Germany",0,0,82833,"Male",NA
"Product Manager","Seattle, WA",20,0,118720,"Male",NA
"Product Designer","Seattle, WA",21,3,142315,"Female",NA
"Software Engineering Manager","Seattle, WA",18,3,204519,"Male",NA
"Solution Architect","Toulouse, MI, France",16,1,104820,"Male",NA
"Software Engineer","Seattle, WA",8,7,234467,"Male",NA
"Software Engineering Manager","Seattle, WA",9,2,93304,"Male",NA
"Software Engineer","Seattle, WA",16,5,155523,"Male",NA
"Software Engineer","Vancouver, BC, Canada",8,0,197780,"Male",NA
"Product Manager","Seattle, WA",15,8,79446,"Female",NA
"Product Manager","Seattle, WA",3,3,117816,"Female",NA
"Software Engineer","Seattle, WA",2,0,360663,"Male",NA
"Software Engineer","Seattle, WA",0,0,185940,"Female",NA
"Software Engineer","San Francisco, CA",2,1.5,221361,"Male",NA
"Solution Architect","Toronto, ON, Canada",15,1,140014,"Male",NA
"Software Engineer","Seattle, WA",3,3,280015,"Male",NA
"Product Manager","Seattle, WA",2,2,287912,NA,NA
"Product Designer","Seattle, WA",12,3,204280,"Male",NA
"Software Engineering Manager","Seattle, WA",18,6,301628,"Male",NA
"Software Engineer","Palo Alto, CA",8,2,237229,NA,NA
"Product Manager","Seattle, WA",9,5,283348,"Male",NA
"Software Engineering Manager","Seattle, WA",12,5,156903,"Male",NA
"Software Engineering Manager","Seattle, WA",20,4,178820,"Male",NA
"Software Engineer","Seattle, WA",0,0,103679,"Male",NA
"Software Engineer","Seattle, WA",2,0,137859,"Male",NA
"Product Manager","Portland, OR",9,0,213330,"Male",NA
"Software Engineering Manager","Seattle, WA",15,4,236299,"Male",NA
"Software Engineer","Sunnyvale, CA",12,3,148333,"Male",NA
"Software Engineer","Seattle, WA",4,4,262688,NA,NA
"Data Scientist","Seattle, WA",0,0,165601,NA,NA
"Product Manager","Bangalore, KA, India",17,4,210826,"Male",NA
"Software Engineer","Toronto, ON, Canada",7,4,239421,"Male",NA
"Sales","Seattle, WA",9,3,206266,"Male",NA
"Software Engineering Manager","New York, NY",15,5,233598,"Male",NA
"Software Engineer","New York, NY",3,3,183914,NA,NA
"Software Engineer","Seattle, WA",1,1,179884,NA,NA
"Software Engineer","Seattle, WA",15,3,266702,"Male",NA
"Software Engineer","Vancouver, BC, Canada",21,3,130861,"Male",NA
"Software Engineer","Vancouver, BC, Canada",10,9,300859,"Male",NA
"Product Manager","Seattle, WA",10,4,105475,"Male",NA
"Software Engineer","Bellevue, WA",17,3,230468,"Male",NA
"Product Manager","San Francisco, CA",10,2,220637,"Female",NA
"Software Engineer","Arlington, VA",3,3,283945,"Male",NA
"Software Engineer","Cupertino, CA",6,2,192388,"Male",NA
"Software Engineer","Vancouver, BC, Canada",13,4,196825,"Male",NA
"Software Engineering Manager","Seattle, WA",15,3,147681,"Male",NA
"Software Engineer","Austin, TX",10,4,278593,"Male",NA
"Product Manager","San Francisco, CA",9,0,186181,"Female",NA
"Technical Program Manager","Seattle, WA",13,1,232837,"Male",NA
"Software Engineer","Seattle, WA",9,9,138303,"Male",NA
"Software Engineering Manager","Seattle, WA",14,4,114529,"Male",NA
"Product Manager","Palo Alto, CA",7,0,249177,"Male",NA
"Software Engineer","Seattle, WA",20,2,245452,"Male",NA
"Product Manager","Seattle, WA",15,2,212960,"Female",NA
"Product Manager","Sunnyvale, CA",18,1,179931,"Female",NA
"Technical Program Manager","San Francisco, CA",25,1,164063,"Male",NA
"Software Engineer","Sunnyvale, CA",10,6,247800,"Male",NA
"Software Engineer","Seattle, WA",2,0,99392,"Female",NA
"Product Manager","Seattle, WA",20,12,214863,"Male",NA
"Software Engineer","Santa Cruz, CA",15,1,77382,"Male",NA
"Software Engineering Manager","San Jose, CA",13,0,106274,"Other",NA
"Product Manager","Arlington, VA",3,1.5,144378,"Male",NA
"Data Scientist","Seattle, WA",6,3,111788,"Female",NA
"Product Manager","Seattle, WA",8,1,233795,"Female",NA
"Technical Program Manager","Vancouver, BC, Canada",15,0,126812,"Male",NA
"Software Engineer","San Francisco, CA",5,5,177979,"Male",NA
"Software Engineer","Vancouver, BC, Canada",2,0,338137,NA,NA
"Software Engineer","Seattle, WA",2,2,91459,"Male",NA
"Solution Architect","Seattle, WA",15,2,204866,"Male",NA
"Software Engineer","Seattle, WA",5,5,128248,"Male",NA
"Software Engineer","Santa Clara, CA",2,0,258086,"Male",NA
"Product Manager","Herndon, VA",4,1,144840,"Male",NA
"Software Engineer","Seattle, WA",0,0,133689,"Male",NA
"Software Engineering Manager","Seattle, WA",22,2,129340,NA,NA
"Software Engineer","Santa Barbara, CA",8,1,172554,"Male",NA
